Model,Term,Coefficient_Type,Coefficient,Hazard_Ratio,Standard_Error,Z_Score,P_Value,Lower_CI,Upper_CI,CI_Width,Model_AIC,Model_LogLik,Model_C_Index,N_Observations,N_Events,Significance_Level,Effect_Size_Category,Risk_Direction,Formula,Analysis_Type
claude_35,C(adv_id)[T.p6]:cumulative_drift,Adversarial_ID,4.335104,76.3329,3.25655,1.3312,0.183125,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p7]:cumulative_drift,Adversarial_ID,3.654164,38.6352,2.909834,1.2558,0.209189,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p2],Adversarial_ID,-0.290037,0.7482,0.27029,-1.0731,0.283245,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p5]:cumulative_drift,Adversarial_ID,-3.650286,0.026,3.689708,-0.9893,0.322509,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p3]:prompt_to_prompt_drift,Adversarial_ID,6.904222,996.4732,7.535144,0.9163,0.359526,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p8]:cumulative_drift,Adversarial_ID,-2.999457,0.0498,3.464311,-0.8658,0.386591,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p8]:prompt_to_prompt_drift,Adversarial_ID,7.447277,1715.1862,9.117981,0.8168,0.414061,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p4],Adversarial_ID,0.16201,1.1759,0.249163,0.6502,0.515552,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p1]:cumulative_drift,Adversarial_ID,1.733296,5.6593,2.934302,0.5907,0.554721,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p6]:prompt_to_prompt_drift,Adversarial_ID,-4.895759,0.0075,8.428825,-0.5808,0.561351,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p5],Adversarial_ID,0.128143,1.1367,0.257527,0.4976,0.618772,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p3]:cumulative_drift,Adversarial_ID,-1.43772,0.2375,3.052838,-0.4709,0.63768,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p6],Adversarial_ID,0.110533,1.1169,0.248631,0.4446,0.656633,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p1]:prompt_to_prompt_drift,Adversarial_ID,2.882032,17.8505,7.677127,0.3754,0.707359,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p4]:cumulative_drift,Adversarial_ID,0.957844,2.6061,2.977697,0.3217,0.747701,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p7],Adversarial_ID,-0.078303,0.9247,0.251724,-0.3111,0.75575,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p1],Adversarial_ID,-0.070356,0.9321,0.249084,-0.2825,0.77759,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
