Model,Analysis_Type,N_Observations,N_Events,N_Conversations,Event_Rate,Baseline_C_Index,Interaction_C_Index,C_Index_Improvement,Baseline_LogLik,Interaction_LogLik,LogLik_Improvement,LogLik_Improvement_Pct,Baseline_AIC,Interaction_AIC,AIC_Improvement,AIC_Improvement_Pct,Formula,Model_Type
claude_35,TimeVarying_Combined,4744,453,593,0.0955,0.4763,0.482,0.0056,-2847.9726,-2838.9959,8.9767,0.32,5735.9452,5761.9918,-26.0466,-0.45,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,TimeVarying_Combined,4184,344,523,0.0822,0.5353,0.552,0.0167,-2130.4273,-2125.5097,4.9176,0.23,4300.8546,4335.0193,-34.1647,-0.79,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
gemini_25,TimeVarying_Combined,4808,52,601,0.0108,0.7053,0.7136,0.0084,-330.0637,-328.7778,1.286,0.39,700.1275,741.5556,-41.4281,-5.92,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
gpt_default,TimeVarying_Combined,4376,134,547,0.0306,0.5511,0.5755,0.0245,-833.4305,-828.7519,4.6786,0.56,1706.861,1741.5037,-34.6427,-2.03,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
gpt_oss,TimeVarying_Combined,4328,122,541,0.0282,0.3461,0.4116,0.0656,-759.0806,-755.2086,3.872,0.51,1558.1612,1594.4172,-36.256,-2.33,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
llama_33,TimeVarying_Combined,3656,377,457,0.1031,0.3712,0.4158,0.0446,-2271.439,-2263.0199,8.4191,0.37,4582.8779,4610.0398,-27.1619,-0.59,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
llama_4_maverick,TimeVarying_Combined,3448,174,431,0.0505,0.6838,0.698,0.0141,-1044.7917,-1039.3426,5.4491,0.52,2129.5835,2162.6852,-33.1017,-1.55,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
llama_4_scout,TimeVarying_Combined,3872,385,484,0.0994,0.3615,0.4318,0.0703,-2349.8386,-2344.744,5.0945,0.22,4739.6771,4773.4881,-33.811,-0.71,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
mistral_large,TimeVarying_Combined,3640,269,455,0.0739,0.3636,0.3962,0.0326,-1625.8807,-1621.805,4.0758,0.25,3291.7615,3327.61,-35.8485,-1.09,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
qwen_3,TimeVarying_Combined,4512,205,564,0.0454,0.443,0.4897,0.0467,-1285.6016,-1280.3785,5.2231,0.41,2611.2032,2644.757,-33.5538,-1.28,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
qwen_max,TimeVarying_Combined,4072,252,509,0.0619,0.4838,0.5304,0.0466,-1551.0429,-1539.7806,11.2623,0.73,3142.0858,3163.5612,-21.4754,-0.68,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
