Model,Baseline_LogLik,Interaction_LogLik,LogLik_Improvement,Baseline_AIC,Interaction_AIC,AIC_Improvement,N_Observations,N_Events,N_Conversations,Interaction_Formula,Note,Type
claude_35,-2847.972617797816,-2838.9959104365607,8.976707361255194,5735.945235595632,5761.9918208731215,-26.046585277489612,4744,453,593,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
deepseek_r1,-2130.427303029762,-2125.5096576684005,4.917645361361338,4300.854606059524,4335.019315336801,-34.164709277277325,4184,344,523,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
gemini_25,-330.0637428114993,-328.7777791213841,1.2859636901151816,700.1274856229986,741.5555582427683,-41.42807261976964,4808,52,601,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
gpt_default,-833.4304943110072,-828.7518523107332,4.678642000274067,1706.8609886220145,1741.5037046214663,-34.642715999451866,4376,134,547,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
gpt_oss,-759.0806094429447,-755.2086174911644,3.8719919517802737,1558.1612188858894,1594.4172349823289,-36.25601609643945,4328,122,541,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
llama_33,-2271.4389510421997,-2263.0198766164353,8.419074425764393,4582.8779020843995,4610.039753232871,-27.161851148471214,3656,377,457,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
llama_4_maverick,-1044.7917491338137,-1039.3426241123348,5.449125021478949,2129.5834982676274,2162.6852482246695,-33.1017499570421,3448,174,431,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
llama_4_scout,-2349.8385647514365,-2344.7440403416977,5.094524409738824,4739.677129502873,4773.488080683395,-33.81095118052235,3872,385,484,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
mistral_large,-1625.880741909167,-1621.804975931611,4.075765977556102,3291.761483818334,3327.609951863222,-35.848468044887795,3640,269,455,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
qwen_3,-1285.6016049122622,-1280.3784864181384,5.22311849412381,2611.2032098245245,2644.756972836277,-33.55376301175238,4512,205,564,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
qwen_max,-1551.0428750311887,-1539.7805779495125,11.262297081676252,3142.0857500623774,3163.561155899025,-21.475405836647496,4072,252,509,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model,combined
