conversation_id,model,prompt0_id,model_prompt0_interaction,time_to_failure,censored,avg_prompt_to_prompt_drift,avg_context_to_prompt_drift,avg_prompt_complexity
0,CARG,-3868762744116692312,CARG_-3868762744116692312,0,0,,0.1104629635810852,20.0
1,CARG,3303949904590227517,CARG_3303949904590227517,9,0,0.05586893856525421,0.12292055288950603,45.333333333333336
2,CARG,2978791715112100450,CARG_2978791715112100450,0,0,,0.1762676239013672,22.0
3,CARG,8228809181693590028,CARG_8228809181693590028,0,0,,0.12193459272384644,38.0
4,CARG,-5883582487755581909,CARG_-5883582487755581909,9,0,0.06604078412055969,0.09198321236504449,49.0
5,CARG,-7748148764174322859,CARG_-7748148764174322859,9,0,0.05963878333568573,0.1347863343026903,57.333333333333336
6,CARG,-9120735786299256593,CARG_-9120735786299256593,0,0,,0.06334960460662842,51.0
7,CARG,6519451917082435996,CARG_6519451917082435996,0,0,,0.12835955619812012,46.0
8,CARG,7796724402164779449,CARG_7796724402164779449,0,0,,0.08027243614196777,59.0
9,CARG,-7579322367467478631,CARG_-7579322367467478631,0,0,,0.09266054630279541,71.0
10,CARG,2735028203675223970,CARG_2735028203675223970,0,0,,0.08849996328353882,46.0
11,CARG,-8800594601742214742,CARG_-8800594601742214742,0,0,,0.06394988298416138,60.0
12,CARG,-6148641726913253952,CARG_-6148641726913253952,0,0,,0.1568424105644226,21.0
13,CARG,7270289390969226437,CARG_7270289390969226437,0,0,,0.10807865858078003,30.0
14,CARG,-3324111638340831616,CARG_-3324111638340831616,0,0,,0.055885493755340576,57.0
15,CARG,6426691030127866090,CARG_6426691030127866090,9,0,0.07533453404903412,0.18092793226242065,31.11111111111111
16,CARG,5892786066623401331,CARG_5892786066623401331,9,0,0.0783090740442276,0.147010776731703,46.888888888888886
17,CARG,-5463727270396169906,CARG_-5463727270396169906,9,0,0.05769381672143936,0.11387964089711507,35.55555555555556
18,CARG,3534595325443628912,CARG_3534595325443628912,9,0,0.08818404376506805,0.16103505425983006,27.11111111111111
19,CARG,-2630813834556949921,CARG_-2630813834556949921,9,0,0.04859601706266403,0.09175505903032091,42.333333333333336
20,CARG,1230088118618836747,CARG_1230088118618836747,0,0,,0.08354103565216064,42.0
21,CARG,1852916232454158090,CARG_1852916232454158090,9,0,0.06934486329555511,0.16972513993581137,35.111111111111114
22,CARG,421036011198874655,CARG_421036011198874655,9,0,0.03201259672641754,0.06598487165239122,54.666666666666664
23,CARG,3017245906011897620,CARG_3017245906011897620,9,0,0.049040161073207855,0.07764848735597399,67.0
24,CARG,3400353470847938971,CARG_3400353470847938971,9,0,0.07149908691644669,0.1593266725540161,38.333333333333336
