conversation_id,model,prompt0_id,model_prompt0_interaction,round,prompt_to_prompt_drift,context_to_prompt_drift,cumulative_drift,prompt_complexity,confidence,failure,censored
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,0,,0.027126073837280273,0.0,20.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,1,0.021787405014038086,0.2111591100692749,0.021787405014038086,23.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,2,0.027423381805419922,0.21565133333206177,0.04921078681945801,36.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,3,0.020858168601989746,0.21633869409561157,0.07006895542144775,30.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,4,0.03660362958908081,0.23498594760894775,0.10667258501052856,30.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,5,0.048279643058776855,0.20841354131698608,0.15495222806930542,29.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,6,0.03983551263809204,0.19907307624816895,0.19478774070739746,27.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,7,0.018171608448028564,0.19902533292770386,0.21295934915542603,30.0,,0,0
0,gemini_25,-3868762744116692312,gemini_25_-3868762744116692312,8,0.02154618501663208,0.20173323154449463,0.2345055341720581,34.0,,0,1
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,0,,0.035918593406677246,0.0,36.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,1,0.02368217706680298,0.04100537300109863,0.02368217706680298,39.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,2,0.04033851623535156,0.08064305782318115,0.06402069330215454,52.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,3,0.033951759338378906,0.08511316776275635,0.09797245264053345,46.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,4,0.059926629066467285,0.1479736566543579,0.15789908170700073,46.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,5,0.08320164680480957,0.08655273914337158,0.2411007285118103,45.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,6,0.06074881553649902,0.09510278701782227,0.3018495440483093,44.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,7,0.029704034328460693,0.09394800662994385,0.33155357837677,47.0,,0,0
1,gemini_25,3303949904590227517,gemini_25_3303949904590227517,8,0.04027742147445679,0.10102665424346924,0.3718309998512268,50.0,,0,1
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,0,,0.03821372985839844,0.0,22.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,1,0.02988988161087036,0.05375242233276367,0.02988988161087036,25.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,2,0.037495315074920654,0.047003090381622314,0.06738519668579102,38.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,3,0.02779144048690796,0.05922669172286987,0.09517663717269897,32.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,4,0.04299771785736084,0.13105463981628418,0.13817435503005981,32.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,5,0.054794251918792725,0.10611283779144287,0.19296860694885254,31.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,6,0.05140984058380127,0.08933788537979126,0.2443784475326538,29.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,7,0.0382922887802124,0.07961082458496094,0.2826707363128662,32.0,,0,0
2,gemini_25,2978791715112100450,gemini_25_2978791715112100450,8,0.02709817886352539,0.09025627374649048,0.3097689151763916,36.0,,0,1
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,0,,0.023550748825073242,0.0,38.0,,1,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,1,,,,,,0,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,2,,,,,,0,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,3,,,,,,0,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,4,,,,,,0,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,5,,,,,,0,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,6,,,,,,0,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,7,,,,,,0,0
3,gemini_25,8228809181693590028,gemini_25_8228809181693590028,8,,,,,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,0,,0.023100554943084717,0.0,39.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,1,0.017105519771575928,0.05191999673843384,0.017105519771575928,42.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,2,0.0343974232673645,0.08815628290176392,0.05150294303894043,55.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,3,0.03479790687561035,0.0829157829284668,0.08630084991455078,49.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,4,0.060373127460479736,0.15750998258590698,0.14667397737503052,49.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,5,0.07524597644805908,0.09087693691253662,0.2219199538230896,48.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,6,0.08346354961395264,0.11580336093902588,0.30538350343704224,49.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,7,0.029081642627716064,0.12336075305938721,0.3344651460647583,52.0,,0,0
4,gemini_25,-5883582487755581909,gemini_25_-5883582487755581909,8,0.06490504741668701,0.0870199203491211,0.3993701934814453,53.0,,0,1
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,0,,0.03351789712905884,0.0,48.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,1,0.018949806690216064,0.04803633689880371,0.018949806690216064,51.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,2,0.03266984224319458,0.07307374477386475,0.051619648933410645,64.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,3,0.03258174657821655,0.07603538036346436,0.0842013955116272,58.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,4,0.07491755485534668,0.1557621955871582,0.15911895036697388,58.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,5,0.10240048170089722,0.07335507869720459,0.2615194320678711,57.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,6,0.0672677755355835,0.08464080095291138,0.3287872076034546,56.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,7,0.03590470552444458,0.08791929483413696,0.36469191312789917,59.0,,0,0
5,gemini_25,-7748148764174322859,gemini_25_-7748148764174322859,8,0.03303653001785278,0.08228015899658203,0.39772844314575195,62.0,,0,1
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,0,,0.023160934448242188,0.0,51.0,,1,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,1,,,,,,0,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,2,,,,,,0,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,3,,,,,,0,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,4,,,,,,0,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,5,,,,,,0,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,6,,,,,,0,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,7,,,,,,0,0
6,gemini_25,-9120735786299256593,gemini_25_-9120735786299256593,8,,,,,,0,0
7,gemini_25,6519451917082435996,gemini_25_6519451917082435996,0,,0.021608948707580566,0.0,46.0,,0,0
7,gemini_25,6519451917082435996,gemini_25_6519451917082435996,1,0.012797832489013672,0.039193689823150635,0.012797832489013672,49.0,,0,0
7,gemini_25,6519451917082435996,gemini_25_6519451917082435996,2,0.029205679893493652,0.12367713451385498,0.042003512382507324,62.0,,0,0
7,gemini_25,6519451917082435996,gemini_25_6519451917082435996,3,0.023566901683807373,0.10866880416870117,0.0655704140663147,56.0,,0,0
7,gemini_25,6519451917082435996,gemini_25_6519451917082435996,4,0.05504733324050903,0.13817352056503296,0.12061774730682373,56.0,,0,0
