conversation_id,model,prompt0_id,model_prompt0_interaction,round,prompt_to_prompt_drift,context_to_prompt_drift,cumulative_drift,prompt_complexity,confidence,failure,censored
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,0,,0.1104629635810852,0.0,20.0,,1,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,1,,,,,,0,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,2,,,,,,0,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,3,,,,,,0,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,4,,,,,,0,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,5,,,,,,0,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,6,,,,,,0,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,7,,,,,,0,0
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,8,,,,,,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,0,,0.09066712856292725,0.0,36.0,,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,1,0.02368217706680298,0.12925994396209717,0.02368217706680298,39.0,100.0,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,2,0.04033851623535156,0.1496458649635315,0.06402069330215454,52.0,99.98,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,3,0.033951759338378906,0.13558989763259888,0.09797245264053345,46.0,99.99,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,4,0.059926629066467285,0.15186679363250732,0.15789908170700073,46.0,97.06,1,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,5,0.08320164680480957,0.12754535675048828,0.2411007285118103,45.0,99.99,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,6,0.06538039445877075,0.18226605653762817,0.30648112297058105,44.0,93.96,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,7,0.03871631622314453,0.13008856773376465,0.3451974391937256,47.0,100.0,0,0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,8,0.03729146718978882,0.12134456634521484,0.3824889063835144,53.0,92.3,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,0,,0.1762676239013672,0.0,22.0,,1,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,1,,,,,,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,2,,,,,,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,3,,,,,,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,4,,,,,,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,5,,,,,,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,6,,,,,,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,7,,,,,,0,0
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,8,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,0,,0.12193459272384644,0.0,38.0,,1,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,1,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,2,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,3,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,4,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,5,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,6,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,7,,,,,,0,0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,8,,,,,,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,0,,0.06426328420639038,0.0,39.0,,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,1,0.017105519771575928,0.0490342378616333,0.017105519771575928,42.0,100.0,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,2,0.0343974232673645,0.07596379518508911,0.05150294303894043,55.0,100.0,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,3,0.03479790687561035,0.06794822216033936,0.08630084991455078,49.0,100.0,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,4,0.060373127460479736,0.13079828023910522,0.14667397737503052,49.0,100.0,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,5,0.07524597644805908,0.07664161920547485,0.2219199538230896,48.0,100.0,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,6,0.0918695330619812,0.13044142723083496,0.3137894868850708,51.0,100.0,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,7,0.12678921222686768,0.1209559440612793,0.4405786991119385,53.0,100.0,0,0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,8,0.09126639366149902,0.08324742317199707,0.5318450927734375,56.0,100.0,0,1
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,0,,0.10599368810653687,0.0,48.0,,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,1,0.018949806690216064,0.08856064081192017,0.018949806690216064,51.0,100.0,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,2,0.03266984224319458,0.11911356449127197,0.051619648933410645,64.0,100.0,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,3,0.03258174657821655,0.10475558042526245,0.0842013955116272,58.0,100.0,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,4,0.07491755485534668,0.15557628870010376,0.15911895036697388,58.0,100.0,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,5,0.10240048170089722,0.10468649864196777,0.2615194320678711,57.0,99.99,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,6,0.0672677755355835,0.1283336877822876,0.3287872076034546,56.0,99.98,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,7,0.03156018257141113,0.09978872537612915,0.3603473901748657,59.0,100.0,0,0
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,8,0.044309020042419434,0.09071815013885498,0.40465641021728516,65.0,99.99,0,1
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,0,,0.06334960460662842,0.0,51.0,,1,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,1,,,,,,0,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,2,,,,,,0,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,3,,,,,,0,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,4,,,,,,0,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,5,,,,,,0,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,6,,,,,,0,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,7,,,,,,0,0
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,8,,,,,,0,0
7,gpt_default,6519451917082435996,gpt_default_6519451917082435996,0,,0.12835955619812012,0.0,46.0,,1,0
