conversation_id,model,prompt0_id,model_prompt0_interaction,time_to_failure,censored,avg_prompt_to_prompt_drift,avg_context_to_prompt_drift,avg_prompt_complexity
0,llama_33,-3868762744116692312,llama_33_-3868762744116692312,1,0,0.0300794318318367,0.11026263236999512,29.11111111111111
1,llama_33,3303949904590227517,llama_33_3303949904590227517,6,0,0.046634502708911896,0.09288820955488417,45.333333333333336
2,llama_33,2978791715112100450,llama_33_2978791715112100450,0,0,,0.1762676239013672,22.0
3,llama_33,8228809181693590028,llama_33_8228809181693590028,4,0,0.04435163736343384,0.10734570026397705,47.333333333333336
4,llama_33,-5883582487755581909,llama_33_-5883582487755581909,6,0,0.06105130910873413,0.0974343220392863,48.888888888888886
5,llama_33,-7748148764174322859,llama_33_-7748148764174322859,6,0,0.05016051232814789,0.09474691417482164,57.333333333333336
6,llama_33,-9120735786299256593,llama_33_-9120735786299256593,0,0,,0.06334960460662842,51.0
7,llama_33,6519451917082435996,llama_33_6519451917082435996,1,0,0.04046371579170227,0.14833966228697035,55.333333333333336
8,llama_33,7796724402164779449,llama_33_7796724402164779449,0,0,,0.08027243614196777,59.0
9,llama_33,-7579322367467478631,llama_33_-7579322367467478631,0,0,,0.09266054630279541,71.0
10,llama_33,2735028203675223970,llama_33_2735028203675223970,0,0,,0.08849996328353882,46.0
11,llama_33,-8800594601742214742,llama_33_-8800594601742214742,5,0,0.030735857784748077,0.0906925532552931,69.33333333333333
12,llama_33,-6148641726913253952,llama_33_-6148641726913253952,0,0,,0.1568424105644226,21.0
13,llama_33,7270289390969226437,llama_33_7270289390969226437,0,0,,0.10807865858078003,30.0
14,llama_33,-3324111638340831616,llama_33_-3324111638340831616,0,0,,0.055885493755340576,57.0
15,llama_33,6426691030127866090,llama_33_6426691030127866090,6,0,0.056288301944732666,0.14944765965143839,31.11111111111111
16,llama_33,5892786066623401331,llama_33_5892786066623401331,9,1,0.07336290180683136,0.1744470794995626,46.888888888888886
17,llama_33,-5463727270396169906,llama_33_-5463727270396169906,7,0,0.04472404718399048,0.12759744458728367,35.55555555555556
18,llama_33,3534595325443628912,llama_33_3534595325443628912,9,1,0.07747278362512589,0.15728257762061226,27.22222222222222
19,llama_33,-2630813834556949921,llama_33_-2630813834556949921,0,0,,0.05300480127334595,32.0
20,llama_33,1230088118618836747,llama_33_1230088118618836747,0,0,,0.08354103565216064,42.0
21,llama_33,1852916232454158090,llama_33_1852916232454158090,2,0,0.06343837082386017,0.15242722299363878,35.111111111111114
22,llama_33,421036011198874655,llama_33_421036011198874655,1,0,0.025884561240673065,0.07947577370537652,53.888888888888886
23,llama_33,3017245906011897620,llama_33_3017245906011897620,1,0,0.04620417207479477,0.0739116801155938,67.55555555555556
24,llama_33,3400353470847938971,llama_33_3400353470847938971,6,0,0.05517590045928955,0.16582930750317043,38.22222222222222
25,llama_33,-6783124165237271347,llama_33_-6783124165237271347,5,0,0.05305250734090805,0.1313948697514004,33.111111111111114
26,llama_33,-5521210303032175665,llama_33_-5521210303032175665,0,0,,0.061433494091033936,36.0
27,llama_33,5002219929762452798,llama_33_5002219929762452798,0,0,,0.10374206304550171,33.0
28,llama_33,-5753029251514169321,llama_33_-5753029251514169321,4,0,0.03642097860574722,0.11144342687394884,63.666666666666664
29,llama_33,-6203194028862240724,llama_33_-6203194028862240724,9,1,0.06575600057840347,0.10365850395626491,57.22222222222222
30,llama_33,3782419834493346304,llama_33_3782419834493346304,1,0,0.07797654718160629,0.15386556916766697,51.44444444444444
31,llama_33,-5830595497067547464,llama_33_-5830595497067547464,0,0,,0.09624409675598145,32.0
32,llama_33,3283035069522641043,llama_33_3283035069522641043,2,0,0.06514599919319153,0.08598744206958348,62.111111111111114
33,llama_33,6367010592123423365,llama_33_6367010592123423365,6,0,0.03848901391029358,0.08487203386094835,41.333333333333336
34,llama_33,-2602450431110440176,llama_33_-2602450431110440176,0,0,,0.10959470272064209,44.0
35,llama_33,1496555721770479851,llama_33_1496555721770479851,9,1,0.033166565001010895,0.07061426507102118,98.11111111111111
