conversation_id,model,prompt0_id,model_prompt0_interaction,round,prompt_to_prompt_drift,context_to_prompt_drift,cumulative_drift,prompt_complexity,confidence,failure,censored
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,0,,0.027126073837280273,0.0,20.0,,0,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,1,0.021787405014038086,0.17720293998718262,0.021787405014038086,23.0,,0,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,2,0.027423381805419922,0.18578916788101196,0.04921078681945801,36.0,,1,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,3,0.020858168601989746,0.17771410942077637,0.07006895542144775,30.0,,0,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,4,0.03660362958908081,0.21645885705947876,0.10667258501052856,30.0,,0,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,5,0.048279643058776855,0.16093379259109497,0.15495222806930542,29.0,,0,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,6,0.03846222162246704,0.15479683876037598,0.19341444969177246,27.0,,0,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,7,0.018966853618621826,0.16649270057678223,0.2123813033103943,30.0,,0,0
0,llama_4_maverick,-3868762744116692312,llama_4_maverick_-3868762744116692312,8,0.02154618501663208,0.16195452213287354,0.23392748832702637,34.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,0,,0.035918593406677246,0.0,36.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,1,0.02368217706680298,0.13291138410568237,0.02368217706680298,39.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,2,0.04033851623535156,0.16762733459472656,0.06402069330215454,52.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,3,0.033951759338378906,0.152441143989563,0.09797245264053345,46.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,4,0.059926629066467285,0.18224811553955078,0.15789908170700073,46.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,5,0.08320164680480957,0.1273401379585266,0.2411007285118103,45.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,6,0.06500810384750366,0.20027238130569458,0.30610883235931396,44.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,7,0.03484177589416504,0.16383206844329834,0.340950608253479,47.0,,0,0
1,llama_4_maverick,3303949904590227517,llama_4_maverick_3303949904590227517,8,0.04027742147445679,0.1269010305404663,0.3812280297279358,50.0,,0,1
2,llama_4_maverick,2978791715112100450,llama_4_maverick_2978791715112100450,0,,0.03821372985839844,0.0,22.0,,0,0
2,llama_4_maverick,2978791715112100450,llama_4_maverick_2978791715112100450,1,0.02988988161087036,0.295604944229126,0.02988988161087036,25.0,,1,0
2,llama_4_maverick,2978791715112100450,llama_4_maverick_2978791715112100450,2,0.037495315074920654,0.2805909514427185,0.06738519668579102,38.0,,0,0
2,llama_4_maverick,2978791715112100450,llama_4_maverick_2978791715112100450,3,0.02779144048690796,0.272804856300354,0.09517663717269897,32.0,,0,0
2,llama_4_maverick,2978791715112100450,llama_4_maverick_2978791715112100450,4,0.04299771785736084,0.3256217837333679,0.13817435503005981,32.0,,0,0
2,llama_4_maverick,2978791715112100450,llama_4_maverick_2978791715112100450,5,0.054794251918792725,0.2865740656852722,0.19296860694885254,31.0,,0,0
