conversation_id,model,prompt0_id,model_prompt0_interaction,time_to_failure,censored,avg_prompt_to_prompt_drift,avg_context_to_prompt_drift,avg_prompt_complexity
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,0,0,,0.1104629635810852,20.0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,0,0,,0.09066712856292725,36.0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,0,0,,0.1762676239013672,22.0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,0,0,,0.12193459272384644,38.0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,6,0,0.05770280957221985,0.14151422182718912,49.0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,9,1,0.05069355666637421,0.1318454146385193,57.333333333333336
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,0,0,,0.06334960460662842,51.0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,0,0,,0.12835955619812012,46.0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,0,0,,0.08027243614196777,59.0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,0,0,,0.09266054630279541,71.0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,0,0,,0.08849996328353882,46.0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,0,0,,0.06394988298416138,60.0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,0,0,,0.1568424105644226,21.0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,0,0,,0.10807865858078003,30.0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,0,0,,0.055885493755340576,57.0
15,llama_4_scout,6426691030127866090,llama_4_scout_6426691030127866090,9,1,0.06064203381538391,0.15433990293078953,31.11111111111111
16,llama_4_scout,5892786066623401331,llama_4_scout_5892786066623401331,7,0,0.05656147748231888,0.19289718733893502,46.77777777777778
17,llama_4_scout,-5463727270396169906,llama_4_scout_-5463727270396169906,3,0,0.04509466886520386,0.1141589085261027,35.55555555555556
18,llama_4_scout,3534595325443628912,llama_4_scout_3534595325443628912,9,1,0.06997077912092209,0.1512694623735216,27.11111111111111
19,llama_4_scout,-2630813834556949921,llama_4_scout_-2630813834556949921,2,0,0.04666583985090256,0.1002339522043864,42.333333333333336
20,llama_4_scout,1230088118618836747,llama_4_scout_1230088118618836747,9,1,0.044561803340911865,0.1198422908782959,51.333333333333336
21,llama_4_scout,1852916232454158090,llama_4_scout_1852916232454158090,4,0,0.05743083357810974,0.1367355850007799,35.111111111111114
22,llama_4_scout,421036011198874655,llama_4_scout_421036011198874655,0,0,,0.05916529893875122,44.0
23,llama_4_scout,3017245906011897620,llama_4_scout_3017245906011897620,3,0,0.044198691844940186,0.13842015796237522,66.44444444444444
24,llama_4_scout,3400353470847938971,llama_4_scout_3400353470847938971,9,1,0.05350615829229355,0.13348676760991415,38.333333333333336
25,llama_4_scout,-6783124165237271347,llama_4_scout_-6783124165237271347,6,0,0.05305250734090805,0.17463445663452148,33.111111111111114
26,llama_4_scout,-5521210303032175665,llama_4_scout_-5521210303032175665,0,0,,0.061433494091033936,36.0
27,llama_4_scout,5002219929762452798,llama_4_scout_5002219929762452798,6,0,0.04935856908559799,0.10656394561131795,42.77777777777778
28,llama_4_scout,-5753029251514169321,llama_4_scout_-5753029251514169321,2,0,0.03642097860574722,0.15791682402292886,63.666666666666664
29,llama_4_scout,-6203194028862240724,llama_4_scout_-6203194028862240724,6,0,0.054733455181121826,0.1016201376914978,57.55555555555556
30,llama_4_scout,3782419834493346304,llama_4_scout_3782419834493346304,1,0,0.06782777607440948,0.15356471803453234,51.77777777777778
31,llama_4_scout,-5830595497067547464,llama_4_scout_-5830595497067547464,6,0,0.0486624613404274,0.09308015637927586,42.22222222222222
32,llama_4_scout,3283035069522641043,llama_4_scout_3283035069522641043,1,0,0.048991963267326355,0.0911251703898112,61.333333333333336
33,llama_4_scout,6367010592123423365,llama_4_scout_6367010592123423365,2,0,0.04003509134054184,0.10614101754294501,41.333333333333336
34,llama_4_scout,-2602450431110440176,llama_4_scout_-2602450431110440176,0,0,,0.10959470272064209,44.0
35,llama_4_scout,1496555721770479851,llama_4_scout_1496555721770479851,9,1,0.032916873693466187,0.0757591658168369,97.88888888888889
36,llama_4_scout,-2532804206855381128,llama_4_scout_-2532804206855381128,9,1,0.0537508949637413,0.11066007614135742,77.88888888888889
37,llama_4_scout,6576872830977679673,llama_4_scout_6576872830977679673,9,1,0.05010443925857544,0.12424959739049275,76.55555555555556
38,llama_4_scout,6604037401904095430,llama_4_scout_6604037401904095430,2,0,0.05098671466112137,0.12190594938066271,46.333333333333336
39,llama_4_scout,5901919261020755834,llama_4_scout_5901919261020755834,9,1,0.05622437596321106,0.17739823791715834,85.66666666666667
40,llama_4_scout,-4659031628495680299,llama_4_scout_-4659031628495680299,0,0,,0.10828995704650879,42.0
41,llama_4_scout,-657705933917334885,llama_4_scout_-657705933917334885,9,1,0.02879936248064041,0.10576374000973171,47.22222222222222
42,llama_4_scout,8799888050619316884,llama_4_scout_8799888050619316884,6,0,0.048980265855789185,0.11275191439522637,82.11111111111111
43,llama_4_scout,1261228498230287811,llama_4_scout_1261228498230287811,0,0,,0.05067199468612671,78.0
44,llama_4_scout,7841841025893810847,llama_4_scout_7841841025893810847,6,0,0.03620205819606781,0.10884984334309895,51.333333333333336
45,llama_4_scout,6411162474977205366,llama_4_scout_6411162474977205366,9,1,0.04992138594388962,0.10566722022162543,58.77777777777778
46,llama_4_scout,-6788785493859323635,llama_4_scout_-6788785493859323635,0,0,,0.025649666786193848,98.0
47,llama_4_scout,-684339054241722652,llama_4_scout_-684339054241722652,6,0,0.034134089946746826,0.138240999645657,49.22222222222222
48,llama_4_scout,8993113398435204735,llama_4_scout_8993113398435204735,9,1,0.04835393279790878,0.14507398340437147,28.11111111111111
49,llama_4_scout,1906516324081487351,llama_4_scout_1906516324081487351,7,0,0.04720842093229294,0.10451372464497884,37.333333333333336
50,llama_4_scout,-5814619913067464838,llama_4_scout_-5814619913067464838,6,0,0.043426647782325745,0.11390611860487196,29.11111111111111
51,llama_4_scout,-1821642933381494386,llama_4_scout_-1821642933381494386,7,0,0.03402136266231537,0.08545204665925768,51.0
52,llama_4_scout,279037356966820280,llama_4_scout_279037356966820280,7,0,0.04720555990934372,0.1558915244208442,40.111111111111114
53,llama_4_scout,3286831512485668189,llama_4_scout_3286831512485668189,9,1,0.037973180413246155,0.09510630369186401,93.44444444444444
54,llama_4_scout,5650208345660479362,llama_4_scout_5650208345660479362,7,0,0.037922538816928864,0.06969135999679565,64.77777777777777
55,llama_4_scout,6692051999058394744,llama_4_scout_6692051999058394744,0,0,,0.07507234811782837,83.0
56,llama_4_scout,5579573992615529324,llama_4_scout_5579573992615529324,6,0,0.06444903463125229,0.11247499783833821,46.44444444444444
57,llama_4_scout,5399691353183534643,llama_4_scout_5399691353183534643,9,1,0.05261284112930298,0.10905446608861287,40.22222222222222
58,llama_4_scout,-7618038066063214621,llama_4_scout_-7618038066063214621,7,0,0.03628765791654587,0.06852355930540296,100.88888888888889
59,llama_4_scout,-1725314727614475826,llama_4_scout_-1725314727614475826,0,0,,0.06313598155975342,75.0
