round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(0, None)","(1, None)","(0, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(0, None)"
1,"(1, None)","(0, None)","(0, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
1,"(0, None)","(0, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(0, None)"
1,"(0, None)","(1, None)","(1, None)","(0, None)","(0, None)","(0, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
0,,,,,,,,
1,"(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(0, None)","(0, None)","(0, None)","(0, None)","(0, None)","(1, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)"
1,"(0, None)","(0, None)","(0, None)","(0, None)","(1, None)","(0, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(0, None)","(0, None)","(0, None)","(0, None)","(0, None)","(0, None)","(1, None)","(0, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(0, None)","(1, None)","(0, None)","(0, None)","(0, None)","(0, None)","(0, None)","(0, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(0, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(0, None)","(0, None)","(0, None)"
1,"(1, None)","(1, None)","(0, None)","(0, None)","(1, None)","(0, None)","(0, None)","(0, None)"
0,,,,,,,,
1,"(0, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(0, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(0, None)","(0, None)","(0, None)","(1, None)","(0, None)","(0, None)"
0,,,,,,,,
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(0, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(0, None)","(1, None)","(0, None)","(1, None)","(0, None)","(0, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(0, None)","(0, None)","(1, None)","(1, None)","(0, None)","(1, None)","(0, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
0,,,,,,,,
1,"(0, None)","(1, None)","(0, None)","(1, None)","(0, None)","(0, None)","(0, None)","(0, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(0, None)","(0, None)","(0, None)","(0, None)","(1, None)"
1,"(0, None)","(1, None)","(1, None)","(0, None)","(1, None)","(0, None)","(1, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)"
1,"(1, None)","(0, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(0, None)","(0, None)","(1, None)"
1,"(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(0, None)","(1, None)"
0,,,,,,,,
1,"(1, None)","(1, None)","(1, None)","(1, None)","(0, None)","(1, None)","(0, None)","(0, None)"
1,"(1, None)","(1, None)","(0, None)","(1, None)","(1, None)","(1, None)","(1, None)","(1, None)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
