covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type
C(adv_id)[T.p1],-0.19415473641302058,0.8235304642589735,0.2450037245969806,-0.6743532127012728,0.2860437398752316,0.5094858430351005,1.331150678343532,0.0,-0.7924562646237147,0.4280946835253938,1.223998175958874,llama_33,Baseline_TimeVarying
C(adv_id)[T.p2],0.14267363314110912,1.1533533239329012,0.23450658243563804,-0.3169508225703147,0.6022980888525329,0.7283665734409187,1.8263110064797237,0.0,0.6083992681965201,0.5429226967241925,0.8811812983161844,llama_33,Baseline_TimeVarying
C(adv_id)[T.p3],0.20582159806989825,1.2285340116048546,0.23151505277373496,-0.24793956724551225,0.6595827633853087,0.7804071040039104,1.9339852365853842,0.0,0.8890203708311463,0.3739921319538009,1.4189201758724057,llama_33,Baseline_TimeVarying
C(adv_id)[T.p4],-0.12128356363483925,0.8857827482015933,0.2418808068523443,-0.5953612336169232,0.35279410634724473,0.5513633589094932,1.423038118752396,0.0,-0.5014187161566588,0.6160764704793009,0.6988186583600065,llama_33,Baseline_TimeVarying
C(adv_id)[T.p5],-0.261167633702211,0.7701518053950313,0.2476321956622256,-0.746517818612749,0.22418255120832697,0.47401428594690237,1.2512994248018658,0.0,-1.0546594436308596,0.29158110656526726,1.7780308537810492,llama_33,Baseline_TimeVarying
C(adv_id)[T.p6],-0.12625929814819353,0.8813862753215842,0.24301415364827922,-0.6025582870323039,0.35003969073591673,0.5474094128118255,1.4191238735463585,0.0,-0.5195553273449741,0.603373541100833,0.7288766615110631,llama_33,Baseline_TimeVarying
C(adv_id)[T.p7],0.1540638202324783,1.1665653348736396,0.23281010911511632,-0.3022356088699898,0.6103632493349465,0.7391638908028083,1.8411000557004975,0.0,0.6617574332062154,0.5081266903301824,0.9767398484339346,llama_33,Baseline_TimeVarying
C(adv_id)[T.p8],0.20388904395817234,1.2261620958153507,0.23149045568890153,-0.24982391195683992,0.6576019998731846,0.7789379326521537,1.9301582606141892,0.0,0.8807665238353388,0.37844420223223363,1.4018474897805853,llama_33,Baseline_TimeVarying
C(base_id)[T.Humanities],-0.03000887863756011,0.9704369173525941,0.14776651135745797,-0.3196259190193066,0.2596081617441863,0.7264207264313515,1.2964219993932167,0.0,-0.20308308264087283,0.8390700943072653,0.25313675920976514,llama_33,Baseline_TimeVarying
C(base_id)[T.Legal],-0.03535479727439446,0.9652628828562896,0.14653645461853892,-0.3225609707489188,0.25185137620012993,0.7242917698489921,1.2864048327020094,0.0,-0.24126963741841193,0.8093461416956101,0.30517124747864716,llama_33,Baseline_TimeVarying
