covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type
C(adv_id)[T.p1],-0.19063084008154357,0.8264376194892777,0.24503162000141746,-0.6708839903578261,0.289622310194739,0.5112564322133694,1.3359228282961908,0.0,-0.777984653900753,0.43657806022082424,1.1956884638851157,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p2],0.14512921023243183,1.1561889520602167,0.23451370109323097,-0.31450919779149233,0.604767618256356,0.7301471441729306,1.8308267087455676,0.0,0.6188517325677944,0.5360140383800402,0.8996573090624372,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p3],0.208747799977793,1.2321342150657022,0.23152416033760392,-0.2450312158347875,0.6625268157903735,0.7826801058476558,1.9396873800585324,0.0,0.9016242610421353,0.3672564987480612,1.4451400748242662,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p4],-0.12655324399399753,0.8811272335613947,0.24182480154765906,-0.6005211455959552,0.34741465760796014,0.5485256998405482,1.4154035115387396,0.0,-0.5233261567220031,0.6007473016314165,0.7351698316515994,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p5],-0.2627411370920352,0.7689409218330945,0.24761870248728785,-0.7480648758656581,0.22258260168158767,0.47328152566504816,1.249299009587761,0.0,-1.0610714556406486,0.28865742888208434,1.7925697398918217,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p6],-0.12430516708369242,0.8831103035619668,0.2430226624324864,-0.600620832878401,0.35201049871101614,0.5484710215295908,1.421923452003623,0.0,-0.5114961947971637,0.6090036522348623,0.7154772147929885,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p7],0.15370212638977176,1.1661434716721613,0.23278583317725549,-0.3025497227487982,0.6099539755283417,0.7389317456279126,1.8403466958481043,0.0,0.660272681940807,0.5090788575606617,0.9740389442841854,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p8],0.2002738434064415,1.2217372770529076,0.23146545021898873,-0.2533901026881252,0.6539377895010081,0.7761650386895964,1.9230986964585373,0.0,0.8652429259613608,0.3869054693826871,1.3699469717006834,llama_33,Baseline_TimeVarying_Cumulative
C(base_id)[T.Humanities],-0.04364672373119826,0.9572920863194898,0.14099640086880055,-0.31999459138381936,0.23270114392142283,0.7261529645457435,1.2620042653178385,0.0,-0.30955913386620587,0.7568962371017092,0.4018325601709225,llama_33,Baseline_TimeVarying_Cumulative
C(base_id)[T.Legal],0.01824188160008216,1.018409281066751,0.14999059191149078,-0.2757342765662845,0.31221803976644885,0.7590145919306135,1.3664526015564535,0.0,0.12162017208950456,0.9031998370667046,0.14688286903229275,llama_33,Baseline_TimeVarying_Cumulative
C(base_id)[T.Medical],-0.15968781189313208,0.8524098596523589,0.14601712883327153,-0.4458761255322894,0.12650050174602523,0.6402630793976238,1.1348500205824157,0.0,-1.0936238314579538,0.27411999276686705,1.867120540843531,llama_33,Baseline_TimeVarying_Cumulative
C(base_id)[T.STEM],0.055256285170006796,1.0568114250674068,0.1403862115179955,-0.21989563333128648,0.3304082036713001,0.8026025585468323,1.3915360426649255,0.0,0.39360193976688185,0.6938749488749515,0.5272524131989829,llama_33,Baseline_TimeVarying_Cumulative
prompt_to_prompt_drift,2.3946228566928616,10.964062256535215,5.207500386023097,-7.811890349390837,12.601136062776561,0.0004048919367135399,296895.6658927708,0.0,0.4598411289838819,0.6456302591975999,0.6312198989059581,llama_33,Baseline_TimeVarying_Cumulative
context_to_prompt_drift,-3.2234101868670697,0.03981903610800074,1.516303788432434,-6.1953110018162825,-0.2515093719178574,0.002038968978020433,0.7776261697270304,0.0,-2.1258340257788677,0.0335170817838772,4.8989596457256015,llama_33,Baseline_TimeVarying_Cumulative
cumulative_drift,-0.8787765257844095,0.41529069844775734,2.915699624200606,-6.593442778954567,4.835889727385749,0.0013693175814750804,125.95059506315465,0.0,-0.3013947385013443,0.763113505969137,0.3900304345251854,llama_33,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p1],-0.10133686501169425,0.9036285807566843,0.3251465084685074,-0.7386123113089165,0.535938581285528,0.4777764607028688,1.7090515735310619,0.0,-0.31166524127540923,0.7552949465022435,0.4048879606988402,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p2],-0.40227729971414544,0.6687952632391019,0.344236709252329,-1.0769688520052962,0.2724142525770054,0.3406264515967406,1.313130856497874,0.0,-1.1686066270732098,0.2425621569795785,2.0435736070692117,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p3],0.06672665091962314,1.0690032271840795,0.3145207341745808,-0.5497226604536514,0.6831759622928977,0.5771098435699038,1.9801566590183384,0.0,0.21215342478052726,0.8319873412426163,0.265366517080412,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p4],-0.0983011314470782,0.9063759243609443,0.3251400589862257,-0.7355639369913094,0.538961674097153,0.47923512434205756,1.7142260125215534,0.0,-0.30233472846617965,0.7623969067933248,0.3913858289487723,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p5],0.6096939962850508,1.839868306095122,0.2843843856041203,0.05231084273542397,1.1670771498346777,1.0537032276061409,3.212588986240289,0.0,2.1439081298007006,0.03204024866848668,4.963970845043071,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p6],-0.1102783657580074,0.8955848004531589,0.32445713490817285,-0.7462026647050798,0.5256459331890649,0.4741636969439027,1.6915511245847568,0.0,-0.3398857780989102,0.7339425471789551,0.4462609611705143,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p7],0.1297188300165583,1.1385082239786477,0.3089974887178901,-0.47590511918382805,0.7353427792169446,0.6213224310302253,2.0861969749229266,0.0,0.4198054507005704,0.6746275826963866,0.5678367895675116,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p8],-0.09780320814143345,0.9068273424338218,0.32586060252070265,-0.7364782530625327,0.5408718367796657,0.4787971522189634,1.717503592438907,0.0,-0.3001381798992402,0.7640717575472059,0.3882199600345519,gemini_25,Baseline_TimeVarying_Cumulative
C(base_id)[T.Humanities],0.13071765229806753,1.1396459594636275,0.2274072332947072,-0.3149923347834564,0.5764276393795915,0.7297944682802487,1.7796694403320987,0.0,0.5748174778973045,0.5654147449794573,0.8226185883872434,gemini_25,Baseline_TimeVarying_Cumulative
C(base_id)[T.Legal],-0.044649358408132375,0.9563327530885395,0.2611948457652919,-0.5565818490555987,0.467283132239334,0.5731648833887879,1.5956531203073285,0.0,-0.17094272391674228,0.8642688022263655,0.2104480101298934,gemini_25,Baseline_TimeVarying_Cumulative
C(base_id)[T.Medical],0.0623032751718682,1.064285067025349,0.236352542752152,-0.4009391962768131,0.5255457466205495,0.6696907794927823,1.6913816623711768,0.0,0.2636031516580793,0.7920857297324905,0.336271509069275,gemini_25,Baseline_TimeVarying_Cumulative
C(base_id)[T.STEM],0.14532238317753735,1.1564123180586239,0.23259086810284002,-0.3105473414369352,0.6011921077920098,0.733045620157303,1.8242922576506946,0.0,0.6247983180203063,0.5321034347470395,0.9102213786874328,gemini_25,Baseline_TimeVarying_Cumulative
prompt_to_prompt_drift,-0.6131490329050506,0.5416425305276598,5.650896053711359,-11.688701778558833,10.462403712748731,8.388055917662441e-06,34975.521593585676,0.0,-0.10850474457096951,0.913595317113621,0.13037283910152656,gemini_25,Baseline_TimeVarying_Cumulative
context_to_prompt_drift,0.48652676442033294,1.6266566354076395,2.1601248254441248,-3.7472400955610228,4.720293624401688,0.02358274223783637,112.2011928396697,0.0,0.2252308564253005,0.8217996861169775,0.28314131541314674,gemini_25,Baseline_TimeVarying_Cumulative
cumulative_drift,0.5443999107255714,1.7235737738433712,3.027076582199012,-5.388561168829093,6.4773609902802365,0.004568541969615766,650.2526568953748,0.0,0.17984345487886316,0.8572754677063774,0.22216923589801818,gemini_25,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p1],0.07733075229433779,1.0803993618705872,0.22990138776771413,-0.37326768772615926,0.5279291923148348,0.688480910285235,1.6954177867426705,0.0,0.33636487819930255,0.7365957311873064,0.44105505851415494,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p2],0.0034078268012360255,1.0034136400446227,0.2320670808431827,-0.4514352936487472,0.45825094725121923,0.6367136244500078,1.581305777612825,0.0,0.014684662679662156,0.9882837554493102,0.017002767850169694,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p3],-0.18761486395805438,0.8289338980833271,0.2382369666097989,-0.6545507382993316,0.2793210103832229,0.5196754804404096,1.3222317258634102,0.0,-0.7875136534345784,0.43098123901538965,1.214303025964085,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p4],0.06848619753627348,1.0708858439859559,0.22974712813514286,-0.3818098991601155,0.5187822942326624,0.6826248084211184,1.679980681484465,0.0,0.29809381336853197,0.7656315632681421,0.3852777885328694,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p5],-0.1536816170421098,0.8575450052676851,0.23724184672305862,-0.6186670922450765,0.3113038581608569,0.538661945987283,1.365203986540596,0.0,-0.6477846095234125,0.5171242710512289,0.9514170760774572,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p6],0.044495312383210306,1.0455000757952597,0.2319304417352787,-0.41008000033640135,0.49907062510282196,0.6635971600166976,1.6471897023495243,0.0,0.1918476593684777,0.8478615375150166,0.23809941435675286,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p7],0.03514759914890148,1.0357725766685337,0.23215031444293305,-0.41985865615889606,0.490153854456699,0.6571396958999312,1.6325673784009886,0.0,0.1514001789454454,0.8796600483117643,0.1849820045136432,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p8],0.11416926445565519,1.1209418444384316,0.2282357615645501,-0.3331646081949342,0.5615031371062446,0.7166522176180753,1.7533059798367412,0.0,0.5002251341903122,0.6169165624907085,0.6968527157571082,deepseek_r1,Baseline_TimeVarying_Cumulative
C(base_id)[T.Humanities],0.05027997751023879,1.0515654698472263,0.14408454952101235,-0.23212055027962328,0.33268050530010085,0.7928505391912546,1.3947016275009112,0.0,0.3489616178652541,0.727118124880156,0.45973833688374666,deepseek_r1,Baseline_TimeVarying_Cumulative
C(base_id)[T.Legal],0.11376903564776447,1.12049330098631,0.1526371855642812,-0.18539435075978378,0.4129324220553127,0.8307766018613966,1.5112428957943391,0.0,0.74535595783671,0.456056561199657,1.1327153329931863,deepseek_r1,Baseline_TimeVarying_Cumulative
C(base_id)[T.Medical],-0.14741746877505424,0.8629336543541025,0.1512059044362503,-0.44377559571991,0.1489406581698015,0.6416093845657186,1.1606041147932311,0.0,-0.9749451869930563,0.3295874499913005,1.601266786164853,deepseek_r1,Baseline_TimeVarying_Cumulative
C(base_id)[T.STEM],-0.005073984835185143,0.9949388660815626,0.14533941531172365,-0.2899340043802727,0.2797860347099025,0.7483129513259644,1.3228467387683425,0.0,-0.03491127870786099,0.9721504869882441,0.04074843740719587,deepseek_r1,Baseline_TimeVarying_Cumulative
prompt_to_prompt_drift,-1.6258103527020251,0.19675217193181435,4.9203700565994755,-11.269558454246305,8.017937748842254,1.2755366738616339e-05,3034.912123905386,0.0,-0.33042440588821104,0.7410793029202565,0.4323001612522606,deepseek_r1,Baseline_TimeVarying_Cumulative
context_to_prompt_drift,1.1775384499878172,3.2463732494443924,1.510412481938092,-1.7828156164105982,4.137892516386232,0.1681639947627262,62.67060490313778,0.0,0.7796138234218337,0.4356182168224466,1.198863808486637,deepseek_r1,Baseline_TimeVarying_Cumulative
cumulative_drift,-1.7755220137048495,0.16939499990404522,2.7452051000402014,-7.15602513995932,3.6049811125496216,0.0007801493829934664,36.78098915157611,0.0,-0.646772080409893,0.5177794645089099,0.9495903467962152,deepseek_r1,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p1],-0.011619660247520553,0.9884475872880943,0.3384050061989931,-0.6748812845856008,0.6516419640905596,0.5092168689110173,1.918688661876174,0.0,-0.034336549503312656,0.9726087797543265,0.040068480021777306,CARG,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p2],0.0342408648198107,1.0348338317765646,0.3419715734377744,-0.6360111028547213,0.7044928324943427,0.5293999398254426,2.022820515889113,0.0,0.1001278102609345,0.9202428568773126,0.11991344874330562,CARG,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p3],0.09137568646033578,1.0956805602971538,0.3333678521498796,-0.5620132973569019,0.7447646702775734,0.570060207033586,2.105945785025396,0.0,0.2740986746954052,0.7840087922893483,0.3510582613107632,CARG,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p4],0.0138270510737052,1.0139230868645048,0.3400060619946909,-0.6525725849611819,0.6802266871085922,0.5207044956661968,1.9743252355859862,0.0,0.040667072206262915,0.9675613124416768,0.04757501000976788,CARG,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p5],-0.19813139775545216,0.8202620654621725,0.35363680978171247,-0.8912468085352505,0.49498401302434614,0.4101440627108063,1.640472012661277,0.0,-0.5602680271823278,0.575296632336149,0.7976220698697258,CARG,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p6],0.10351607029174066,1.1090636161977296,0.33431441299645376,-0.551728138693958,0.7587602792774394,0.575953622112366,2.135626997643246,0.0,0.3096368755505576,0.7568371108642264,0.4019452631509563,CARG,Baseline_TimeVarying_Cumulative
C(adv_id)[T.p7],-0.3240888639813697,0.7231859743393773,0.36021467368957566,-1.0300966511157856,0.3819189231530463,0.35697245711549064,1.465093295172602,0.0,-0.8997103329018231,0.368274423071301,1.4411468903988873,CARG,Baseline_TimeVarying_Cumulative
