Model,Term,Coefficient,Hazard_Ratio,P_Value,CI_Lower,CI_Upper,HR_CI_Lower,HR_CI_Upper,Significance
llama_33,C(adv_id)[T.p1]:cumulative_drift,0.3379278866066611,1.402039393941399,0.9596225717023998,-12.744490598745294,13.420346371958615,2.9183545851496802e-06,673569.439493846,ns
llama_33,C(adv_id)[T.p2]:cumulative_drift,-2.0459191469388722,0.12926132520726585,0.7562606779343986,-14.964713703899683,10.872875410021937,3.168891832308777e-07,52726.603110858305,ns
llama_33,C(adv_id)[T.p3]:cumulative_drift,4.7931898357622424,120.68572295886088,0.4771059252957067,-8.420511904897715,18.0068915764222,0.000220301850364366,66114032.64209181,ns
llama_33,C(adv_id)[T.p4]:cumulative_drift,1.5741010921176348,4.826401177512492,0.8118290420523362,-11.385191851277243,14.533394035512513,1.1362502808622111e-05,2050089.554971804,ns
llama_33,C(adv_id)[T.p5]:cumulative_drift,2.431105968393301,11.371451594026572,0.7141914236126925,-10.579419286843322,15.441631223629923,2.5434112152039934e-05,5084113.437194158,ns
llama_33,C(adv_id)[T.p6]:cumulative_drift,2.7208194539891544,15.192766918796597,0.6677847583503367,-9.704224696199823,15.145863604178132,6.102513703090205e-05,3782378.5062866304,ns
llama_33,C(adv_id)[T.p7]:cumulative_drift,-10.634594833352581,2.406878384142305e-05,0.12824204586344604,-24.337718632672903,3.06852896596774,2.6931658304373173e-11,21.510237099327796,ns
llama_33,C(adv_id)[T.p8]:cumulative_drift,-2.541773584299599,0.07872664755006394,0.7238360890555686,-16.64103272906808,11.55748556046888,5.927769564685787e-08,104556.78087413168,ns
llama_33,C(adv_id)[T.p1]:prompt_to_prompt_drift,6.299216874916874,544.1456091488249,0.6237670076666042,-18.870551407277965,31.468985157111717,6.37710625659751e-09,46430846851519.48,ns
llama_33,C(adv_id)[T.p2]:prompt_to_prompt_drift,10.84821764754162,51442.38114224282,0.4496317908207721,-17.275194349804437,38.97162964488768,3.143970193703853e-08,8.417123619312054e+16,ns
llama_33,C(adv_id)[T.p3]:prompt_to_prompt_drift,-4.045872691519963,0.0174944307506972,0.7603496264217567,-30.04325190912871,21.95150652608878,8.961515853789476e-14,3415215821.567966,ns
llama_33,C(adv_id)[T.p4]:prompt_to_prompt_drift,3.134193205362596,22.970096213758207,0.8284869648490261,-25.220842888436508,31.4892292991617,1.1135945699882528e-11,47380378307239.32,ns
llama_33,C(adv_id)[T.p5]:prompt_to_prompt_drift,4.24551689573189,69.79182591891586,0.7505114043628028,-21.924210560345415,30.415244351809193,3.0090980105851174e-10,16187239325412.045,ns
llama_33,C(adv_id)[T.p6]:prompt_to_prompt_drift,-5.318024237850963,0.004902430198911787,0.6954361938538545,-31.942398149889375,21.306349674187448,1.3415063870895095e-14,1791554783.9727619,ns
llama_33,C(adv_id)[T.p7]:prompt_to_prompt_drift,3.7551023450758603,42.73859367133848,0.8036134172196144,-25.841408606309827,33.351613296461544,5.98713206075974e-12,305085535188944.56,ns
llama_33,C(adv_id)[T.p8]:prompt_to_prompt_drift,-7.680972224988487,0.00046152597350454923,0.6272352157545464,-38.68127661729114,23.319332167314165,1.5883090561132222e-17,13410880168.408344,ns
llama_33,C(base_id)[T.Humanities]:context_to_prompt_drift,0.12149308195583479,1.1291815541702743,0.955156184087642,-4.113067052467916,4.356053216379586,0.016357528114517586,77.94887915532705,ns
llama_33,C(base_id)[T.Legal]:context_to_prompt_drift,-0.4001162454783855,0.6702421288900622,0.8574865246055932,-4.7671776647189565,3.9669451737621855,0.00850434844343131,52.82291927796775,ns
llama_33,C(base_id)[T.Medical]:context_to_prompt_drift,1.974635486973911,7.203993225795275,0.30229176038005456,-1.777276467259665,5.726547441207487,0.16909806479988662,306.9078197832753,ns
llama_33,C(base_id)[T.STEM]:context_to_prompt_drift,-0.0043175058334354215,0.9956918011956735,0.9984680907442289,-4.411771406446733,4.403136394779863,0.012133665628154782,81.70673177838768,ns
gemini_25,C(adv_id)[T.p1]:cumulative_drift,1.8577439918386156,6.409261103598169,0.7969622811908547,-12.29456054126166,16.01004852493889,4.576570949388367e-06,8975852.958116239,ns
gemini_25,C(adv_id)[T.p2]:cumulative_drift,1.5605870938995485,4.7616159403539,0.8273179668683359,-12.460946456644947,15.582120644444046,3.875071449900522e-06,5850985.370608945,ns
gemini_25,C(adv_id)[T.p3]:cumulative_drift,1.2682902156404636,3.554769474204202,0.8527399949942093,-12.123347469298832,14.65992790057976,5.431216210310353e-06,2326621.7961910125,ns
gemini_25,C(adv_id)[T.p4]:cumulative_drift,-3.59462057539577,0.027471104411773646,0.6366653661914811,-18.50958617250975,11.320345021718207,9.149320959313243e-09,82482.79636909961,ns
gemini_25,C(adv_id)[T.p5]:cumulative_drift,1.254984533551676,3.5077841209611917,0.8536925743160091,-12.083431061746007,14.593400128849359,5.652395831310264e-06,2176873.2775417115,ns
gemini_25,C(adv_id)[T.p6]:cumulative_drift,2.7918479369093636,16.311133915123346,0.6806942183279132,-10.505135729086835,16.08883160290556,2.7395392131742494e-05,9711599.9770201,ns
gemini_25,C(adv_id)[T.p7]:cumulative_drift,-2.950132747951644,0.052332758420823314,0.6693362747424993,-16.489602579860225,10.589337083956936,6.896942269889296e-08,39709.15656187178,ns
gemini_25,C(adv_id)[T.p8]:cumulative_drift,-3.1212845537565386,0.04410048257892077,0.6923352601043896,-18.58196665388026,12.339397546367184,8.510487130433835e-09,228524.23532124568,ns
gemini_25,C(adv_id)[T.p1]:prompt_to_prompt_drift,-4.411145290508504,0.012141265088417052,0.7584284548804314,-32.52306845167588,23.700777870658875,7.50603935047308e-15,19638894903.731613,ns
gemini_25,C(adv_id)[T.p2]:prompt_to_prompt_drift,-4.393176208348714,0.012361404405725737,0.7700479937904581,-33.8495914300682,25.063239013370772,1.9920912470045186e-15,76705481795.40747,ns
gemini_25,C(adv_id)[T.p3]:prompt_to_prompt_drift,3.518960665527209,33.74933338362608,0.7918662862214282,-22.617272603968708,29.655193935023128,1.5046771034387744e-10,7569846721506.15,ns
gemini_25,C(adv_id)[T.p4]:prompt_to_prompt_drift,-7.922145356015504,0.00036262353481925926,0.6358133546178314,-40.71018374284325,24.865893030812238,2.0882949738625992e-18,62968033563.56992,ns
gemini_25,C(adv_id)[T.p5]:prompt_to_prompt_drift,4.008788299625449,55.08008954720871,0.7674291053034972,-22.558793438134586,30.576370037385487,1.595293117062774e-10,19017296771858.074,ns
gemini_25,C(adv_id)[T.p6]:prompt_to_prompt_drift,-2.8600604395475244,0.05726529907210716,0.8366120769385406,-30.041576523318195,24.321455644223146,8.976542434436744e-14,36532044512.34398,ns
gemini_25,C(adv_id)[T.p7]:prompt_to_prompt_drift,-4.503944289016851,0.01106526574534617,0.7648831873086657,-34.02022873254431,25.012340154510607,1.6795865507214715e-15,72898955973.74057,ns
gemini_25,C(adv_id)[T.p8]:prompt_to_prompt_drift,-8.791479694975452,0.00015202285372356277,0.6007818901538258,-41.72050550687651,24.137546116925613,7.603519711430011e-19,30395065616.143753,ns
gemini_25,C(base_id)[T.Humanities]:context_to_prompt_drift,1.3351045447544752,3.800393236829447,0.6935409060718981,-5.305494039941552,7.975703129450501,0.004964245087160124,2909.402839899137,ns
gemini_25,C(base_id)[T.Legal]:context_to_prompt_drift,-2.3578894814662856,0.09461970926278848,0.5479893644464143,-10.050241476404913,5.334462513472342,4.317532197991233e-05,207.36126496381485,ns
