covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type,Formula
C(adv_id)[T.p1],-0.2539550972211762,0.7757266335459084,0.2643890774234345,-0.7721481668768797,0.26423797243452724,0.4620195065246554,1.3024381037910917,0.0,-0.9605355096211193,0.3367857682807825,1.570096919857603,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p2],0.08889834694085147,1.0929695469811167,0.2498412762359843,-0.4007815563332006,0.5785782502149035,0.6697963578309624,1.7835009352642466,0.0,0.35581929567508175,0.7219758977114387,0.4699774195929074,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p3],0.15212186947150502,1.1643021206703765,0.24769887548022643,-0.33335900548081027,0.6376027444238204,0.7165129159124286,1.8919399749706896,0.0,0.614140331386562,0.5391225988565971,0.8913147093862355,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p4],-0.18859798323336244,0.828119357650971,0.26144752933467164,-0.7010257245762981,0.32382975810957326,0.49607620518319495,1.3824119426631356,0.0,-0.7213607400050948,0.47068759504686775,1.0871582635304653,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p5],-0.36959837191021905,0.6910118046640665,0.2678388488513442,-0.8945528693195208,0.15535612549908273,0.40879034048617596,1.1680738679323992,0.0,-1.3799281676100446,0.16760876287298926,2.5768305173123704,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p6],-0.11870491439062435,0.8880698187248102,0.2589851266389147,-0.6263064351344422,0.38889660635319345,0.5345626007686194,1.4753520014230945,0.0,-0.45834645383372347,0.6467035547939624,0.6288235542873685,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p7],0.34487273888428205,1.4118102396884795,0.2428523470681155,-0.13110911493024574,0.8208545926988098,0.8771220620566978,2.2724410194580185,0.0,1.420092262017759,0.1555808227318462,2.6842638536811285,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p8],0.3476415961069102,1.4157247575372205,0.24275504833839878,-0.12814955570163128,0.8234327479154517,0.8797218018945026,2.2783072839476786,0.0,1.4320674214045606,0.15212452699406123,2.7166753177618874,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
cumulative_drift,-0.8472278532955692,0.42860143266093775,3.4030017436343423,-7.5169887101458865,5.822533003554748,0.0005437675446027153,337.82668697746885,0.0,-0.24896486017980868,0.8033879632100209,0.3158312485740591,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
prompt_to_prompt_drift,1.2503158303210242,3.4914454876956555,5.7369657595178,-9.99393043887334,12.49456209951539,4.567632536279578e-05,266882.05534763733,0.0,0.21794026367452382,0.827475655209696,0.2732112272271975,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(base_id)[T.Humanities],-0.039702271266766086,0.9610755363625132,0.1737679530354182,-0.3802812008834333,0.3008766583499012,0.6836691338152121,1.3510426914258626,0.0,-0.22847867269676464,0.8192741343955587,0.2875818271987474,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
C(base_id)[T.Legal],-0.006092894900267665,0.9939256291430878,0.17272728072004923,-0.34463214425910377,0.33244635445856846,0.7084809243139452,1.394375095171547,0.0,-0.03527465305346195,0.9718607346819701,0.041178500993026494,llama_33,Combined_Interaction_TimeVarying,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift
