Model,Baseline_C_Index,Baseline_AIC,Subject_C_Index,Subject_AIC,Subject_Frailty_Var,Difficulty_C_Index,Difficulty_AIC,Difficulty_Frailty_Var,N_Observations,N_Events,Subject_AIC_Improvement,Difficulty_AIC_Improvement
llama_33,0.7968252108716026,2419.6883233895783,0.7887276409044887,1709.3060726579831,0.003967857498593698,0.7953916185649256,1900.381165858481,0.00023749469777694743,1371,188,710.3822507315951,519.3071575310973
gemini_25,0.773377250941796,526.213961524127,0.7667557066537154,380.86975347304957,9.845741017134957e-05,0.7722244017261671,421.03750730921973,7.100872485027425e-06,1767,38,145.34420805107737,105.17645421490721
deepseek_r1,0.8005014616335633,2052.540217739346,0.8158175375829921,1458.409744567702,0.003392627107949691,0.7986666361199569,1623.7867621393968,0.0002442870330036895,1569,156,594.1304731716441,428.75345559994935
CARG,0.7497216655533289,583.5522111870164,0.7583718570301049,421.85646466468614,9.068417288653301e-05,0.7463665498993813,464.67721248328144,4.279125558842623e-05,1623,43,161.69574652233024,118.87499870373495
mistral_large,0.7942530931007407,1928.3128775391333,0.7983368869936034,1374.3396862149707,0.0017648203614457204,0.7930186546071226,1515.7049129333507,0.0004952357929014934,1365,150,553.9731913241626,412.6079646057826
gpt_default,0.7539822800320467,1007.6832196254026,0.7467712542587751,703.6951341482778,0.0010925611389218744,0.7532061745091638,801.4213547770536,3.9988522321235834e-05,1641,75,303.98808547712474,206.26186484834898
llama_4_scout,0.7694851254357422,2780.0784275451188,0.7653078455874903,1952.622811189101,0.005065523139765657,0.768617971623752,2185.037765033898,0.0005476737408619154,1452,215,827.4556163560178,595.040662511221
claude_35,0.7596476510067114,5233.97785734122,0.7570366404225026,3833.43147205137,0.0007264783760394737,0.7598607596001042,4178.059611844671,9.662235825485067e-05,2372,381,1400.5463852898506,1055.9182454965494
llama_4_maverick,0.7779701446598953,1122.1443107358891,0.7734094271824139,805.1096374019113,0.004652885235296488,0.7784919906132027,881.9128400061127,0.0001328510690148213,1293,87,317.0346733339778,240.23147072977645
qwen_max,0.7804090537223889,1010.0484249539403,0.7797258920854426,734.2999583551638,0.000310059092130752,0.7833164679484359,797.762032366552,0.00020122303867468815,1527,76,275.74846659877653,212.28639258738826
