covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type,Formula
C(adv_id)[T.p1],-0.2527399741558295,0.7766698097922878,0.26103922599596796,-0.7643674556601385,0.25888750734847954,0.46562836843105276,1.295488063743498,0.0,-0.9682068784548623,0.3329410603427081,1.5866612913966238,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p2],0.08983396490772332,1.0939926274581218,0.2487193534814475,-0.39764701017400067,0.5773149399894473,0.6718991593743632,1.7812492428880844,0.0,0.36118606634454853,0.7179603575351559,0.47802390761668095,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p3],0.17741856592701305,1.1941308110072884,0.2448502912717258,-0.30247918656971146,0.6573163184237376,0.7389838688881214,1.9296069289609974,0.0,0.7246001832610461,0.4686973464675591,1.0932714678727082,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p4],-0.17588918734882564,0.8387109179682014,0.25911969456333067,-0.683754456377973,0.3319760816803218,0.5047184871250687,1.3937195126850035,0.0,-0.6787951322852346,0.4972676784821861,1.00790543332012,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p5],-0.35736340302530495,0.6995182444929058,0.2645180728087207,-0.8758092989903412,0.16108249293973137,0.41652479014503757,1.1747818760272328,0.0,-1.3509980593413855,0.17669605435288488,2.5006582702161757,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p6],-0.1111290892906929,0.8948232293770471,0.25652488014310637,-0.6139086155096354,0.39165043692824963,0.5412312644986023,1.4794204702393632,0.0,-0.4332097893533673,0.6648623676879499,0.588872373829354,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p7],0.3058862127877648,1.3578277943178902,0.24239437875756534,-0.169198039632024,0.7809704652075535,0.8443416737131647,2.1835903360237525,0.0,1.2619360826585084,0.20697178691716286,2.2724939728088986,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p8],0.32673069754264106,1.3864280584181805,0.24161379737934582,-0.14682364348883487,0.8002850385741169,0.863446238355996,2.2261753839232044,0.0,1.3522849319306771,0.1762841827972693,2.5040250610894597,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
prompt_to_prompt_drift,0.7650635822719166,2.149131016943864,5.712991890104634,-10.432194766302576,11.96232193084641,2.946832010794106e-05,156736.59411435243,0.0,0.1339164481568876,0.8934686436933241,0.16251099615438472,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.Humanities],0.16713725770683405,1.1819164813213034,0.17158127428066647,-0.1691558603047609,0.503430375718429,0.844377288228035,1.6543867158606862,0.0,0.9740996411615229,0.3300070676882452,1.5994311722053838,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.Legal],-0.005082749725041507,0.9949301455902048,0.17856280448939812,-0.3550594155027289,0.34489391605264585,0.7011317838735615,1.4118401381482044,0.0,-0.028464773162449334,0.9772914635816182,0.03313920479762906,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.Medical],0.09510124257903581,1.0997701930606303,0.17322925461252764,-0.24442185753023743,0.434624342688309,0.7831571838109074,1.5443827912796715,0.0,0.5489906586029855,0.5830118605136161,0.778402861667208,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.STEM],0.10028181995170156,1.1054824211822352,0.1676876337866313,-0.22837990292283772,0.4289435428262408,0.7958218673457325,1.5356343343755068,0.0,0.5980275210949778,0.5498215698343959,0.8629645891228819,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
context_to_prompt_drift,-3.782075432458058,0.022775373589999308,1.7692378434460676,-7.249717885697665,-0.31443297921845126,0.0007103747674583013,0.7302027970672346,0.0,-2.1376862621768518,0.03254221523215598,4.94154372746537,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
cumulative_drift,-0.966326954529317,0.3804779876277311,3.1307375189330076,-7.102459736686297,5.169805827627663,0.0008230778764388463,175.8806829987778,0.0,-0.30865792762424005,0.7575817509562653,0.4005265160900318,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p1]:prompt_to_prompt_drift,6.386068218558854,593.5184014614323,8.63006289236771,-10.528544234797426,23.300680671915135,2.6761554477534244e-05,13163065440.352207,0.0,0.7399793371386194,0.45931253220686474,1.1224519472831382,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p2]:prompt_to_prompt_drift,6.853064967387358,946.7783088214363,8.751328319399336,-10.29922335552078,24.005353290295496,3.3659226289389276e-05,26631306327.363693,0.0,0.7830885457920668,0.4335751169559141,1.205646132647616,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p3]:prompt_to_prompt_drift,3.856790941407656,47.313276414430625,8.313633779006109,-12.437631846099944,20.151213728915256,3.966478652768587e-06,564366109.3463393,0.0,0.46391157512217646,0.6427110994076217,0.637757707432604,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p4]:prompt_to_prompt_drift,5.79218121276181,327.7270878370775,9.196462288841584,-12.232553658548486,23.81691608407211,4.869332672230245e-06,22057446334.42307,0.0,0.6298271042539568,0.5288077101919969,0.9191848829156873,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
