covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type,Formula
C(adv_id)[T.p1],-0.24847072170201523,0.779992697359443,0.2632799935704672,-0.764490026950068,0.2675485835460375,0.4655712992588988,1.3067571151883695,0.0,-0.9437508651241733,0.3452969745210943,1.5340904014795431,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p2],0.10675296408357979,1.1126593537024356,0.2480982812128292,-0.3795107317198557,0.5930166598870154,0.6841960827738008,1.8094386515083503,0.0,0.4302849804590245,0.6669883513572183,0.584266529258496,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p3],0.14750383037074583,1.1589377239824035,0.24752934893602668,-0.3376447786605144,0.6326524394020061,0.7134486750853679,1.8825974382933712,0.0,0.5959044089307882,0.55123908769835,0.8592499034540281,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p4],-0.18172627425362725,0.8338295497967846,0.2600986785933801,-0.6915103167231114,0.3280577682158569,0.5008191021148456,1.3882691678059673,0.0,-0.6986820357427701,0.4847507630472637,1.0446849256040065,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p5],-0.3616089428567916,0.6965547072820767,0.26675523772726,-0.8844396014896414,0.1612217157760582,0.41294552250478533,1.1749454438780047,0.0,-1.3555832902764346,0.17523179138488523,2.512663555607424,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p6],-0.12730812536957156,0.880462338013475,0.2581714709936391,-0.6333149103528314,0.3786986596136882,0.5308292299284839,1.460382897084615,0.0,-0.4931146144056646,0.6219316051396053,0.6851721613985717,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p7],0.34238509751293417,1.4083025269023761,0.24159054104259164,-0.1311236619360912,0.8158938569619596,0.8771093026497397,2.261195955040081,0.0,1.4172123462920379,0.15642085317080603,2.676495237225144,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p8],0.32549840189934254,1.3847206214117065,0.2422657217716432,-0.1493336874616794,0.8003304912603645,0.8612816680493184,2.2262765718740765,0.0,1.3435594582635733,0.17909088688331493,2.481236167852431,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
cumulative_drift,-0.7407899765400164,0.4767371555562176,3.3590275815715187,-7.324363059496871,5.842783106416839,0.0006592794514873604,344.73744779256253,0.0,-0.22053703298066948,0.8254529341073876,0.27674213736924025,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Humanities],-0.04048280667278106,0.9603256755630494,0.14121989095458795,-0.3172687068444472,0.2363030934988851,0.72813507395839,1.2665581375335984,0.0,-0.2866650469642347,0.7743688032697316,0.3689072624642095,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Legal],0.014860853319235326,1.0149718248289286,0.15002855434363932,-0.27918970984690805,0.3089114164853787,0.7563963937588376,1.36194171957543,0.0,0.09905349941049654,0.9210957925367678,0.11857689271707382,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Medical],-0.14816266181210588,0.8622908417429281,0.14620308324458717,-0.4347154394002082,0.1383901157759964,0.6474488793084507,1.1484234810135419,0.0,-1.0134031275129847,0.31086764616167434,1.6856276202186247,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.STEM],0.04267714290348304,1.0436009064954053,0.14048627183618617,-0.2326708902177456,0.3180251760247117,0.7924143219194788,1.3744108629938425,0.0,0.3037815890882681,0.7612942940712404,0.39347382969713834,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
prompt_to_prompt_drift,1.6525490144913988,5.220269424708359,5.293343887492205,-8.722214362778564,12.027312391761361,0.0001629260138800965,167261.27533323286,0.0,0.3121937757333799,0.7548932621324496,0.4056554253878863,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
context_to_prompt_drift,-3.1509315633901576,0.04281222598244765,1.5191923725674215,-6.128493899210259,-0.1733692275700558,0.002179861580871167,0.84082710097568,0.0,-2.0740833223544373,0.038071573185998527,4.7151420038843925,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
