Model,Baseline_LogLik,Interaction_LogLik,LogLik_Improvement,Baseline_AIC,Interaction_AIC,AIC_Improvement,N_Observations,N_Events,N_Conversations,Interaction_Formula,Note
llama_33,-2271.381814232643,-2265.8551813176514,5.526632914991751,4572.763628465286,4585.710362635303,-12.946734170016498,3656,377,457,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
gemini_25,-489.9759446538795,-488.3949519974497,1.5809926564297712,1009.951889307759,1030.7899039948993,-20.838014687140344,4712,78,589,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
deepseek_r1,-2131.097452784345,-2127.753661225433,3.3437915589120166,4292.19490556869,4309.507322450866,-17.312416882175967,4184,344,523,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
CARG,-425.6115520325396,-422.1981518339195,3.4134001986200815,881.2231040650792,898.396303667839,-17.173199602759837,4328,68,541,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
mistral_large,-1628.2549132942058,-1624.3090621809429,3.945851113262961,3286.5098265884117,3302.6181243618857,-16.108297773474078,3640,269,455,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
gpt_default,-837.6900477112738,-833.1097158203534,4.580331890920434,1705.3800954225476,1720.2194316407067,-14.839336218159133,4376,134,547,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
llama_4_scout,-2350.1876024278454,-2347.167191353763,3.0204110740824035,4730.375204855691,4748.334382707526,-17.959177851835193,3872,385,484,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
claude_35,-2849.307496709724,-2845.203278990898,4.104217718826021,5728.614993419448,5744.406557981796,-15.791564562347958,4744,453,593,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
llama_4_maverick,-1044.7538368495075,-1040.9148524457507,3.83898440375674,2119.507673699015,2135.8297048915015,-16.32203119248652,3448,174,431,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
qwen_max,-1553.9343843625834,-1544.2685305992268,9.665853763356608,3137.868768725167,3142.5370611984536,-4.668292473286783,4072,252,509,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift,Full interaction model
