Model,Baseline_LogLik,Interaction_LogLik,LogLik_Improvement,Baseline_AIC,Interaction_AIC,AIC_Improvement,N_Observations,N_Events,N_Conversations,Interaction_Formula,Note
llama_33,-2272.0028001197966,-2264.8542537998983,7.148546319898287,4574.005600239593,4599.708507599797,-25.702907360203426,3656,377,457,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
gemini_25,-491.53917607180665,-489.32816416984645,2.2110119019602053,1013.0783521436133,1048.656328339693,-35.57797619607959,4712,78,589,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
deepseek_r1,-2131.7521768337106,-2128.4982687114943,3.2539081222162167,4293.504353667421,4326.996537422989,-33.49218375556757,4184,344,523,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
CARG,-424.33261391887544,-419.15187764289277,5.180736275982667,878.6652278377509,908.3037552857855,-29.638527448034665,4328,68,541,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
mistral_large,-1628.1773799344132,-1624.3999753439055,3.7774045905077855,3286.3547598688265,3318.799950687811,-32.44519081898443,3640,269,455,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
gpt_default,-835.6047728591458,-830.4904950737442,5.114277785401555,1701.2095457182916,1730.9809901474885,-29.77144442919689,4376,134,547,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
llama_4_scout,-2350.301626640892,-2346.714115066872,3.587511574020027,4730.603253281784,4763.428230133744,-32.824976851959946,3872,385,484,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
claude_35,-2849.449456045451,-2841.6562918542936,7.793164191157302,5728.898912090902,5753.312583708587,-24.413671617685395,4744,453,593,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
llama_4_maverick,-1045.669612830998,-1041.3037854842548,4.365827346743117,2121.339225661996,2152.6075709685097,-31.268345306513766,3448,174,431,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
qwen_max,-1552.147925976775,-1542.6189543010978,9.528971675677212,3134.29585195355,3155.2379086021956,-20.942056648645575,4072,252,509,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,Full combined interaction model
