Model,Baseline_LogLik,Interaction_LogLik,LogLik_Improvement,Baseline_AIC,Interaction_AIC,AIC_Improvement,N_Observations,N_Events,N_Conversations,Interaction_Formula,Note
llama_33,-2271.0147889209434,-2265.6522273651344,5.362561555808952,4572.029577841887,4577.304454730269,-5.274876888382096,3656,377,457,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
gemini_25,-492.1118641850564,-490.9937381337394,1.118126051317006,1014.2237283701128,1027.9874762674788,-13.763747897365988,4712,78,589,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
deepseek_r1,-2131.0343052818157,-2130.1464369117807,0.8878683700349939,4292.068610563631,4306.292873823561,-14.224263259930012,4184,344,523,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
CARG,-425.023218822646,-422.2584970884664,2.764721734179602,880.046437645292,890.5169941769328,-10.470556531640796,4328,68,541,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
mistral_large,-1627.0910352580393,-1625.4235557101827,1.6674795478566011,3284.1820705160785,3296.8471114203653,-12.665040904286798,3640,269,455,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
gpt_default,-835.8296859894347,-833.084114438988,2.745571550446698,1701.6593719788693,1712.168228877976,-10.508856899106604,4376,134,547,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
llama_4_scout,-2350.6042238431364,-2347.8915286051515,2.712695237984917,4731.208447686273,4741.783057210303,-10.574609524030166,3872,385,484,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
claude_35,-2848.6299405419268,-2843.0029240036692,5.6270165382575215,5727.2598810838535,5732.0058480073385,-4.745966923484957,4744,453,593,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
llama_4_maverick,-1044.9084848946015,-1042.1844342686118,2.7240506259897757,2119.816969789203,2130.3688685372235,-10.551898748020449,3448,174,431,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
qwen_max,-1553.5766704976697,-1547.1463071073933,6.430363390276398,3137.1533409953395,3140.2926142147867,-3.1392732194472046,4072,252,509,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift,Full interaction model
