Model,C_index_Baseline,C_index_Interaction
llama_33,0.3696881497365006,0.4068304022028829
gemini_25,0.6369179279436008,0.6441459353331511
deepseek_r1,0.5269198813441603,0.5400696053676405
CARG,0.6245630932994399,0.6281576438813202
mistral_large,0.32208379357673883,0.3455048485588303
gpt_default,0.4862557053594496,0.5396731797869999
llama_4_scout,0.35840848778598383,0.3736531083323301
claude_35,0.4530739671152206,0.4507510708894525
llama_4_maverick,0.6807176760964496,0.6609822163154231
qwen_max,0.3980794927973007,0.4802790826723816
