Model,C_index_Baseline,C_index_Interaction
llama_33,0.37400402807559385,0.40131447362912864
gemini_25,0.6322621799173231,0.6276664926974344
deepseek_r1,0.532044541377005,0.5388595711166934
CARG,0.6450331651904516,0.637503971879096
mistral_large,0.3495495321148172,0.3491505717935053
gpt_default,0.5127682834642655,0.5297946549034993
llama_4_scout,0.35392539164935016,0.3707062512104098
claude_35,0.46936020972320347,0.4694111489696622
llama_4_maverick,0.6835440794886399,0.6798569710777799
qwen_max,0.4237505700608809,0.47033769928212193
