Model,C_index_Baseline,C_index_Combined_Interaction
llama_33,0.36288902791279637,0.4078711434432139
gemini_25,0.6481389434268625,0.6695185194389907
deepseek_r1,0.5058981732106963,0.5088018226783245
CARG,0.6399690193430512,0.6945773920641856
mistral_large,0.3264276973737097,0.3543430106022217
gpt_default,0.517527534040782,0.5591790502071632
llama_4_scout,0.3601237365938938,0.39732636835190605
claude_35,0.44433905162442927,0.4539762243564176
llama_4_maverick,0.6867540029112081,0.6644009872792861
qwen_max,0.47052506194927335,0.5219636883178181
