subject,time_to_failure_mean,time_to_failure_std,time_to_failure_count,model
Humanities,3.7051282051282053,2.192720982711961,78,llama_33
STEM,4.0602409638554215,2.2105589051042376,83,llama_33
Business,3.9393939393939394,2.2862719932325697,66,llama_33
Legal,3.8783783783783785,2.244949904573964,74,llama_33
Medical,3.723684210526316,2.1515804064951967,76,llama_33
Humanities,3.588235294117647,2.0018373912924274,17,gemini_25
STEM,2.888888888888889,2.088327347690278,9,gemini_25
Business,4.357142857142857,2.6777471259119427,14,gemini_25
Legal,3.9047619047619047,1.9469145308606102,21,gemini_25
Medical,3.5294117647058822,2.124783726018472,17,gemini_25
STEM,3.9583333333333335,2.1846938741946573,72,deepseek_r1
Humanities,3.2318840579710146,2.101434576777828,69,deepseek_r1
Medical,3.6184210526315788,2.039392754478044,76,deepseek_r1
Business,3.966666666666667,2.1310192251251765,60,deepseek_r1
Legal,4.044776119402985,2.370480297968629,67,deepseek_r1
STEM,3.1875,2.7861263431510066,16,CARG
Humanities,3.5,2.7468990781342053,12,CARG
Business,3.3846153846153846,2.6311740579210876,13,CARG
Legal,3.6666666666666665,2.3868325657594203,12,CARG
Medical,3.8,2.9568322818274866,15,CARG
Humanities,3.423076923076923,2.0707690514770234,52,mistral_large
STEM,3.473684210526316,2.196631050022924,57,mistral_large
Legal,3.1538461538461537,2.14553449060533,52,mistral_large
Business,3.1666666666666665,2.0559548522790885,48,mistral_large
Medical,3.7333333333333334,2.1929522448112273,60,mistral_large
STEM,3.1379310344827585,1.8463117274918373,29,gpt_default
Humanities,3.52,1.758787461103056,25,gpt_default
Legal,3.5714285714285716,1.7935805576921315,28,gpt_default
Business,3.227272727272727,1.9006720160390935,22,gpt_default
Medical,2.8666666666666667,1.7564331673207403,30,gpt_default
STEM,3.727272727272727,2.1320071635561044,88,llama_4_scout
Humanities,3.64,2.172556098240043,75,llama_4_scout
Business,3.8923076923076922,2.1874862636931356,65,llama_4_scout
Legal,3.7023809523809526,2.2749540543739197,84,llama_4_scout
Medical,3.767123287671233,2.1954533064267507,73,llama_4_scout
Humanities,3.4166666666666665,1.8705603395602461,84,claude_35
STEM,3.262135922330097,1.6387535019543125,103,claude_35
Business,3.101123595505618,1.6517548782226679,89,claude_35
Medical,3.438202247191011,1.3730776328758632,89,claude_35
Legal,3.090909090909091,1.644470802880246,88,claude_35
Humanities,4.294117647058823,2.167660542650531,34,llama_4_maverick
STEM,3.7419354838709675,2.220626667339408,31,llama_4_maverick
Medical,3.45,1.9074751737471023,40,llama_4_maverick
Legal,3.875,1.9240382212739635,40,llama_4_maverick
Business,2.896551724137931,2.0761369963434992,29,llama_4_maverick
STEM,4.054545454545455,2.2886044738465485,55,qwen_max
Humanities,4.0,1.9364916731037085,49,qwen_max
Legal,3.5686274509803924,1.9416992760032057,51,qwen_max
Business,4.1521739130434785,2.0544519821256237,46,qwen_max
Medical,4.196078431372549,1.8223019271584746,51,qwen_max
