subject,time_to_failure_mean,time_to_failure_std,time_to_failure_count,model
Medical,3.6956521739130435,2.2323256016928275,92,llama_33
Legal,3.6666666666666665,2.14935299796454,72,llama_33
Business,4.215189873417722,2.2908451361549638,79,llama_33
Humanities,3.8285714285714287,2.1600552097844097,70,llama_33
STEM,3.921875,2.1988791336597937,64,llama_33
Medical,3.727272727272727,2.4138847998278266,22,gemini_25
Legal,4.235294117647059,2.222875720904845,17,gemini_25
Humanities,3.6363636363636362,1.8586407545691703,11,gemini_25
Business,3.8333333333333335,2.1672493389016636,12,gemini_25
STEM,3.125,1.927865832122834,16,gemini_25
Legal,3.590909090909091,2.08272951622678,66,deepseek_r1
Medical,3.75,1.9982386610409861,72,deepseek_r1
Business,3.984375,2.387082881372091,64,deepseek_r1
STEM,3.863013698630137,2.347073050117426,73,deepseek_r1
Humanities,3.5942028985507246,2.0744867584942415,69,deepseek_r1
Legal,3.8823529411764706,2.891417319870492,17,CARG
Medical,2.5294117647058822,2.0036730976765997,17,CARG
Business,4.222222222222222,2.5385910352879693,9,CARG
Humanities,3.111111111111111,2.934469476943168,9,CARG
STEM,3.9375,2.8860295678781025,16,CARG
Medical,3.203125,2.048458092213642,64,mistral_large
Legal,2.851063829787234,2.0427892632618905,47,mistral_large
Humanities,3.7222222222222223,2.149301480794612,54,mistral_large
Business,3.709090909090909,2.199938780905196,55,mistral_large
STEM,3.510204081632653,2.1806196460676786,49,mistral_large
Legal,3.3548387096774195,1.6030884171243578,31,gpt_default
Medical,3.2285714285714286,1.8163589028233231,35,gpt_default
Business,3.6875,2.0886598574205424,16,gpt_default
Humanities,3.2857142857142856,1.9530196400153568,21,gpt_default
STEM,2.935483870967742,1.7689070801103475,31,gpt_default
Medical,3.8131868131868134,2.3185823633902194,91,llama_4_scout
Business,3.8641975308641974,2.3008318409857393,81,llama_4_scout
Humanities,3.857142857142857,2.2343860908552755,77,llama_4_scout
Legal,3.4375,1.8159347586350802,64,llama_4_scout
STEM,3.6527777777777777,2.143839665950333,72,llama_4_scout
Medical,3.4466019417475726,1.5193403840947854,103,claude_35
Legal,3.097560975609756,1.6451181510165083,82,claude_35
Humanities,3.102272727272727,1.7356291563704072,88,claude_35
Business,3.1683168316831685,1.6974646207252333,101,claude_35
STEM,3.481012658227848,1.5921341868914456,79,claude_35
Medical,4.03030303030303,2.143082599972066,33,llama_4_maverick
Legal,3.7058823529411766,2.1536355698116463,34,llama_4_maverick
Humanities,3.4857142857142858,2.091599846042829,35,llama_4_maverick
Business,3.341463414634146,2.020021733763785,41,llama_4_maverick
STEM,3.903225806451613,2.005905260469321,31,llama_4_maverick
Legal,3.6607142857142856,1.7814885064746557,56,qwen_max
Humanities,4.185185185185185,2.101877633855241,54,qwen_max
Medical,4.211538461538462,2.098893625096826,52,qwen_max
Business,4.025,1.9675248019158094,40,qwen_max
STEM,3.9,2.1404748662530997,50,qwen_max
